"source","target","target_type","exclude_from_all","target_family","production","win32ide","deep2","test","benchmark","conditional","duplicate_family","stub_risk","line"
"src/deep2/mars/VRAMManager.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/MedusaDecoder.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/MoEArchitectureParser.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/MoERouter.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/MoEWeightProxy.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/MoEWeightsLoader.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/NUFusedPacker.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/NVMeStream.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/PatchCache.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/PatchCache.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/QuantKernelRegistry.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/ReverseHotpatchEngine.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/ReverseIntegration.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/ReverseTensorRecovery.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/ReverseTensorRecovery.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/ShardRouterIntegration.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/SlidingWindowEngine.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/sovereign_deep2_kernels.asm","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/sovereign_moe_fused.asm","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/sovereign_q4k_gemv.asm","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/StreamEngine.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/StreamEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/TensorHop.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/ThreadPool.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/TrailBrake.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/TrailBrake.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/WarmupScheduler.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/engine/bpe_tokenizer.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/engine/core_generator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/engine/inference_kernels.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
