NAME                                 ID         SIZE
GLM-4.7-Flash-Q4_K_M                 f71c5e13     16.9 GB
Phi-3-mini-4k-instruct-q8_0          acfbcee6      2.0 GB
llama3.2-3b-Q2_K                     7299d763      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       94e7a5df      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                e27bd6d6     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     004606b8      4.7 GB
gemma-4-E4B-it-Q4_K_M                2fa1747f      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    fb0fefca      8.0 GB
Codestral-22B-v0.1-Q4_K_M            3d9e72d1     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      bd47793b     14.6 GB
BigDaddyG-Q2_K-ULTRA                 67613527     23.7 GB
GLM-4.7-Flash-Q4_K_M                 1ceb65db     16.9 GB
tinyllama-1.1b-chat-v1.0.Q4_K_M      b876a59c    637.8 MB
DeepSeek-R1-Q4_K_M                   d5073214    109.7 GB
Q4_K_M                               b4a14efb    578.6 GB
MiniMax-M2.7-Q4_K_M                  453e9d1d    128.8 GB
Qwen3.8-Flash-Next-AD-IQ1_M-M64      9b1fc80e     79.1 GB
Phi-3-mini-4k-instruct-q8_0          2dfd2fff      2.0 GB
llama3.2-3b-Q2_K                     2770fb7e      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       e4998c93      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                0e13d441     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     7927234a      4.7 GB
gemma-4-E4B-it-Q4_K_M                a6f24f23      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    9a3e6512      8.0 GB
rawr.exe : [StreamEngine] Shutdown
At C:\Users\Garrett\AppData\Local\Temp\ps-script-a4bb9159-0fb8-4122-95c0-727e1e49f0e8.ps1:83 char:1
+ & "g:\~dev\rawrxd\build-fd\bin\rawr.exe" list 2>&1 | Out-File -FilePa ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([StreamEngine] Shutdown:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Codestral-22B-v0.1-Q4_K_M            d4dcdb30     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      39b16a5b     14.6 GB
BigDaddyG-Q2_K-ULTRA                 07de7854     23.7 GB
GLM-4.7-Flash-Q4_K_M                 b2845073     16.9 GB
ggml-vocab-aquila                    aaf534cf      4.6 MB
ggml-vocab-baichuan                  842f7f02      1.3 MB
ggml-vocab-bert-bge                  92b4b2bc    612.8 KB
ggml-vocab-command-r                 fdf5c223     10.4 MB
ggml-vocab-deepseek-coder            81fe964f      1.1 MB
ggml-vocab-deepseek-llm              1d45489d      3.8 MB
ggml-vocab-falcon                    9eebe48c      2.2 MB
ggml-vocab-gpt-2                     3d3c2b89      1.7 MB
ggml-vocab-gpt-neox                  29bc959c      1.7 MB
ggml-vocab-llama-bpe                 f10007f7      7.5 MB
ggml-vocab-llama-spm                 63810cbd    706.9 KB
ggml-vocab-mpt                       c631ab65      1.7 MB
ggml-vocab-nomic-bert-moe            f7287eb7      6.5 MB
ggml-vocab-phi-3                     00d9c7d3    709.0 KB
ggml-vocab-qwen2                     4760ccb1      5.7 MB
ggml-vocab-refact                    3040ec16      1.6 MB
ggml-vocab-starcoder                 0c20df2e      1.6 MB
gemma3-1b-Q2_K                       d9319874    666.7 MB
llama3.2-3b-Q2_K                     8df9723e      1.3 GB
model                                39744148      4.0 KB
phi3-mini-Q2_K                       d2210be2      1.4 GB
tinyllama-1.1b-chat-v1.0.Q4_K_M      30bf1c2a    637.8 MB
tinyllama                            3ece73fa    637.8 MB
tinyllama_fresh                      f2da2f9b    608.2 MB
codestral22b                         d7fec2e1     11.8 GB
BigDaddyG-F32-FROM-Q4                31a07af9     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           3e5065e3     36.2 GB
BigDaddyG-Q2_K-CHEETAH               70e4d290     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           e6e37e42     15.8 GB
BigDaddyG-Q2_K-ULTRA                 6715ad1d     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           95957375     36.2 GB
Phi-3-mini-4k-instruct-q8_0          81f1befb      2.0 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q4_K_M e8bbfd65     22.3 GB
