ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.16.ssm_beta.weight,Q4_K,5120x48,5783178880,245760,ssm
blk.16.ssm_conv1d.weight,F32,4x10240,5783317120,40960,conv
blk.16.ssm_dt.bias,F32,48,5783480960,48,ssm
blk.16.ssm_norm.weight,F32,128,5783481152,128,ssm
blk.16.ssm_out.weight,Q4_K,6144x5120,5783481664,31457280,ssm
blk.17.attn_gate.weight,Q4_K,5120x6144,5801176384,31457280,attention
blk.17.attn_norm.weight,F32,5120,5818871104,5120,attention
blk.17.attn_qkv.weight,Q5_K,5120x10240,5818891584,52428800,attention
blk.17.ffn_down.weight,Q6_K,17408x5120,5854936384,89128960,ffn
blk.17.ffn_gate.weight,Q4_K,5120x17408,5928049984,89128960,ffn
blk.17.ffn_up.weight,Q4_K,5120x17408,5978185024,89128960,ffn
blk.17.post_attention_norm.weight,F32,5120,6028320064,5120,norm
blk.17.ssm_a,F32,48,6028340544,48,ssm
blk.17.ssm_alpha.weight,Q4_K,5120x48,6028340736,245760,ssm
blk.17.ssm_beta.weight,Q4_K,5120x48,6028478976,245760,ssm
blk.17.ssm_conv1d.weight,F32,4x10240,6028617216,40960,conv
blk.17.ssm_dt.bias,F32,48,6028781056,48,ssm
blk.17.ssm_norm.weight,F32,128,6028781248,128,ssm
blk.17.ssm_out.weight,Q4_K,6144x5120,6028781760,31457280,ssm
blk.18.attn_gate.weight,Q4_K,5120x6144,6046476480,31457280,attention
blk.18.attn_norm.weight,F32,5120,6064171200,5120,attention
blk.18.attn_qkv.weight,Q5_K,5120x10240,6064191680,52428800,attention
blk.18.ffn_down.weight,Q4_K,17408x5120,6100236480,89128960,ffn
blk.18.ffn_gate.weight,Q4_K,5120x17408,6150371520,89128960,ffn
blk.18.ffn_up.weight,Q4_K,5120x17408,6200506560,89128960,ffn
blk.18.post_attention_norm.weight,F32,5120,6250641600,5120,norm
blk.18.ssm_a,F32,48,6250662080,48,ssm
blk.18.ssm_alpha.weight,Q4_K,5120x48,6250662272,245760,ssm
blk.18.ssm_beta.weight,Q4_K,5120x48,6250800512,245760,ssm
blk.18.ssm_conv1d.weight,F32,4x10240,6250938752,40960,conv
blk.18.ssm_dt.bias,F32,48,6251102592,48,ssm
blk.18.ssm_norm.weight,F32,128,6251102784,128,ssm
blk.18.ssm_out.weight,Q4_K,6144x5120,6251103296,31457280,ssm
blk.19.attn_k.weight,Q4_K,5120x1024,6268798016,5242880,attention
blk.19.attn_k_norm.weight,F32,256,6271747136,256,attention
blk.19.attn_norm.weight,F32,5120,6271748160,5120,attention
blk.19.attn_output.weight,Q4_K,6144x5120,6271768640,31457280,output
blk.19.attn_q.weight,Q4_K,5120x12288,6289463360,62914560,attention
blk.19.attn_q_norm.weight,F32,256,6324852800,256,attention
blk.19.attn_v.weight,Q6_K,5120x1024,6324853824,5242880,attention
blk.19.ffn_down.weight,Q4_K,17408x5120,6329154624,89128960,ffn
blk.19.ffn_gate.weight,Q4_K,5120x17408,6379289664,89128960,ffn
blk.19.ffn_up.weight,Q4_K,5120x17408,6429424704,89128960,ffn
blk.19.post_attention_norm.weight,F32,5120,6479559744,5120,norm
blk.20.attn_gate.weight,Q4_K,5120x6144,6479580224,31457280,attention
blk.20.attn_norm.weight,F32,5120,6497274944,5120,attention
blk.20.attn_qkv.weight,Q5_K,5120x10240,6497295424,52428800,attention
blk.20.ffn_down.weight,Q6_K,17408x5120,6533340224,89128960,ffn
blk.20.ffn_gate.weight,Q4_K,5120x17408,6606453824,89128960,ffn
blk.20.ffn_up.weight,Q4_K,5120x17408,6656588864,89128960,ffn
blk.20.post_attention_norm.weight,F32,5120,6706723904,5120,norm
blk.20.ssm_a,F32,48,6706744384,48,ssm
blk.20.ssm_alpha.weight,Q4_K,5120x48,6706744576,245760,ssm
blk.20.ssm_beta.weight,Q4_K,5120x48,6706882816,245760,ssm
blk.20.ssm_conv1d.weight,F32,4x10240,6707021056,40960,conv
blk.20.ssm_dt.bias,F32,48,6707184896,48,ssm
blk.20.ssm_norm.weight,F32,128,6707185088,128,ssm
blk.20.ssm_out.weight,Q4_K,6144x5120,6707185600,31457280,ssm
blk.21.attn_gate.weight,Q4_K,5120x6144,6724880320,31457280,attention
blk.21.attn_norm.weight,F32,5120,6742575040,5120,attention
blk.21.attn_qkv.weight,Q5_K,5120x10240,6742595520,52428800,attention
blk.21.ffn_down.weight,Q4_K,17408x5120,6778640320,89128960,ffn
blk.21.ffn_gate.weight,Q4_K,5120x17408,6828775360,89128960,ffn
